speed,weather,road_condition,time,location,traffic_density,accident_risk,accident_severity
57.454011884736246,Snowy,Icy,9,Urban,High,1,Low
115.07143064099162,Foggy,Dry,20,Highway,High,1,High
93.1993941811405,Foggy,Dry,4,Urban,Medium,1,Medium
79.86584841970367,Foggy,Under Maintenance,22,Highway,High,1,High
35.601864044243655,Snowy,Icy,19,Urban,High,1,Low
35.59945203362027,Rainy,Wet,19,Highway,High,1,Medium
25.808361216819947,Snowy,Under Maintenance,5,Urban,High,1,Low
106.61761457749351,Rainy,Icy,3,Rural,Low,1,Low
80.11150117432088,Snowy,Icy,1,Urban,Medium,1,Low
90.80725777960456,Snowy,Wet,21,Highway,Medium,1,High
22.058449429580243,Rainy,Under Maintenance,15,Urban,High,1,Low
116.99098521619943,Foggy,Icy,17,Rural,Low,1,Medium
103.24426408004217,Rainy,Icy,4,Urban,Medium,1,High
41.23391106782762,Sunny,Icy,21,Highway,Medium,0,Medium
38.18249672071006,Sunny,Wet,3,Highway,High,1,Medium
38.34045098534338,Rainy,Under Maintenance,12,Rural,High,1,Low
50.42422429595377,Snowy,Under Maintenance,18,Highway,Medium,1,High
72.4756431632238,Sunny,Under Maintenance,22,Urban,Medium,0,Medium
63.194501864211574,Sunny,Under Maintenance,1,Urban,Low,0,Medium
49.12291401980419,Snowy,Dry,12,Urban,Medium,0,Medium
81.18528947223794,Snowy,Dry,10,Highway,Medium,0,Medium
33.94938606520418,Foggy,Under Maintenance,21,Urban,High,1,Low
49.21446485352182,Snowy,Wet,3,Urban,Medium,1,Low
56.63618432936917,Rainy,Dry,21,Urban,High,1,Low
65.6069984217036,Rainy,Icy,19,Rural,Medium,1,Low
98.51759613930136,Foggy,Dry,19,Highway,Medium,1,High
39.96737821583598,Sunny,Icy,14,Highway,Medium,0,Medium
71.42344384136116,Sunny,Under Maintenance,3,Highway,Low,0,High
79.24145688620425,Snowy,Dry,8,Rural,High,1,Medium
24.645041271999773,Rainy,Wet,6,Highway,Low,1,Medium
80.75448519014384,Sunny,Dry,18,Rural,Medium,0,Medium
37.05241236872915,Foggy,Dry,18,Rural,Low,0,Low
26.50515929852795,Foggy,Dry,5,Highway,High,1,Medium
114.88855372533332,Rainy,Under Maintenance,5,Urban,Medium,1,Medium
116.56320330745594,Foggy,Wet,19,Urban,Low,1,Medium
100.83973481164611,Foggy,Dry,14,Highway,Low,1,High
50.46137691733707,Rainy,Wet,14,Highway,High,1,Medium
29.767211400638388,Snowy,Under Maintenance,19,Rural,Low,1,Low
88.42330265121569,Snowy,Icy,8,Highway,High,1,High
64.01524937396013,Foggy,Dry,3,Rural,Medium,0,Low
32.20382348447788,Snowy,Wet,17,Highway,Medium,1,High
69.51769101112703,Snowy,Wet,17,Urban,Low,1,Low
23.43885211152184,Foggy,Under Maintenance,4,Urban,Medium,1,Low
110.9320402078782,Snowy,Dry,19,Highway,Medium,1,High
45.877998160001695,Foggy,Icy,22,Rural,Low,1,Low
86.2522284353982,Sunny,Wet,10,Urban,Medium,0,Medium
51.1711076089411,Rainy,Dry,4,Rural,Low,0,Low
72.00680211778108,Rainy,Icy,21,Highway,High,1,High
74.67102793432797,Snowy,Wet,3,Highway,High,1,High
38.485445552552704,Snowy,Wet,11,Urban,High,1,Low
116.95846277645586,Snowy,Icy,1,Highway,Low,1,High
97.51328233611146,Rainy,Icy,12,Urban,Low,1,Medium
113.9498941564189,Sunny,Under Maintenance,9,Rural,Medium,1,Medium
109.48273504276489,Sunny,Dry,8,Urban,Medium,0,Medium
79.78999788110852,Rainy,Dry,9,Urban,Medium,1,Medium
112.18742350231169,Sunny,Under Maintenance,6,Rural,Medium,1,Medium
28.84925020519195,Rainy,Wet,3,Urban,Medium,0,Low
39.59828624191452,Sunny,Icy,18,Urban,Low,0,Low
24.522728891053806,Foggy,Icy,9,Highway,Low,0,Medium
52.53303307632643,Foggy,Icy,2,Rural,High,1,Low
58.8677289689482,Rainy,Wet,20,Urban,High,1,Low
47.13490317738959,Sunny,Icy,18,Rural,High,1,Low
102.87375091519293,Snowy,Icy,20,Rural,High,1,Medium
55.67533266935893,Sunny,Under Maintenance,1,Urban,Low,0,Low
48.093450968738075,Foggy,Wet,19,Highway,Low,1,Medium
74.26960831582485,Foggy,Dry,9,Rural,Low,0,Low
34.092422497476264,Sunny,Under Maintenance,1,Urban,Medium,0,Low
100.21969807540397,Sunny,Under Maintenance,1,Rural,Medium,1,Medium
27.45506436797708,Snowy,Dry,23,Highway,High,0,Medium
118.68869366005173,Snowy,Under Maintenance,16,Highway,Medium,1,High
97.22447692966574,Sunny,Wet,15,Highway,Low,1,High
39.87156815341724,Sunny,Icy,15,Urban,High,1,Low
20.55221171236024,Sunny,Wet,13,Urban,High,1,Low
101.54614284548342,Sunny,Dry,6,Highway,Medium,0,High
90.68573438476172,Rainy,Dry,20,Urban,High,1,Medium
92.90071680409874,Sunny,Under Maintenance,10,Highway,Medium,0,High
97.12703466859458,Snowy,Wet,23,Urban,Medium,1,High
27.404465173409037,Foggy,Wet,0,Highway,High,1,High
55.84657285442726,Rainy,Dry,10,Rural,Medium,0,Low
31.58690595251297,Sunny,Wet,22,Highway,Medium,0,Medium
106.31034258755935,Foggy,Dry,20,Highway,Medium,1,High
82.3298126827558,Rainy,Wet,3,Urban,Medium,1,Medium
53.08980248526492,Foggy,Wet,6,Urban,High,1,Low
26.355835028602364,Sunny,Wet,14,Urban,Low,0,Low
51.098232171566224,Sunny,Dry,17,Urban,Low,0,Medium
52.518332202674706,Snowy,Under Maintenance,11,Urban,Medium,1,Medium
92.96061783380641,Sunny,Wet,16,Urban,Medium,0,Medium
83.75574713552132,Sunny,Dry,0,Rural,Medium,0,Low
108.72127425763266,Rainy,Dry,10,Highway,Low,1,High
67.22149251619493,Snowy,Wet,0,Highway,Medium,1,High
31.95942459383017,Rainy,Wet,14,Highway,High,1,Medium
91.3244787222995,Foggy,Under Maintenance,20,Rural,High,1,Medium
96.07850486168974,Sunny,Dry,9,Highway,High,1,High
76.12771975694963,Foggy,Dry,6,Rural,Low,0,Medium
97.0967179954561,Rainy,Icy,1,Rural,Medium,1,Medium
69.37955963643907,Sunny,Dry,9,Rural,Medium,0,Medium
72.2732829381994,Sunny,Under Maintenance,23,Highway,Medium,0,Medium
62.75410183585496,Rainy,Icy,3,Rural,Low,1,Low
22.54191267440952,Rainy,Icy,11,Highway,Low,0,Medium
30.789142699330444,Rainy,Icy,18,Highway,Low,1,Medium
23.142918568673426,Rainy,Wet,10,Urban,Low,0,Medium
83.64104112637804,Rainy,Wet,7,Urban,High,1,Medium
51.43559810763267,Sunny,Dry,17,Rural,Low,0,Low
70.85706911647029,Rainy,Icy,10,Rural,Low,1,Low
110.7566473926093,Sunny,Under Maintenance,10,Highway,Low,1,High
44.92922291488749,Sunny,Wet,12,Rural,Medium,0,Low
61.038292303562976,Rainy,Under Maintenance,2,Rural,Medium,1,Medium
95.55511385430486,Rainy,Under Maintenance,11,Highway,Medium,1,High
42.87981654916224,Snowy,Wet,2,Rural,High,1,Low
27.697990982879297,Sunny,Wet,9,Rural,High,1,Low
48.975145291376805,Rainy,Wet,16,Highway,Low,1,Medium
36.122128725400444,Rainy,Wet,21,Highway,Medium,1,High
112.96976523425731,Rainy,Icy,1,Urban,High,1,Medium
100.8120379564417,Snowy,Icy,16,Highway,Medium,1,High
83.34037565104234,Snowy,Icy,15,Urban,High,1,Medium
107.14605901877177,Foggy,Icy,1,Rural,High,1,Medium
100.36720768991145,Sunny,Dry,21,Highway,Low,0,High
38.657005888603585,Foggy,Icy,19,Highway,Low,1,Medium
109.25589984899777,Rainy,Wet,5,Highway,High,1,High
73.93422419156508,Snowy,Under Maintenance,9,Rural,Low,1,Medium
100.74401551640625,Snowy,Icy,9,Urban,High,1,Medium
109.60912999234932,Foggy,Dry,7,Rural,High,1,Medium
51.80034749718639,Snowy,Wet,0,Rural,Medium,0,Medium
31.005192452767677,Rainy,Under Maintenance,12,Highway,Low,0,Medium
42.79351625419417,Snowy,Under Maintenance,23,Urban,Low,0,Low
62.71077886262563,Foggy,Icy,8,Rural,Low,1,Low
101.80147659224932,Rainy,Under Maintenance,21,Highway,Medium,1,High
106.07305832563435,Foggy,Icy,9,Rural,Medium,1,Medium
20.69521305311907,Snowy,Icy,14,Rural,Medium,0,Low
71.07473025775657,Foggy,Wet,4,Highway,Low,1,High
61.7411003148779,Foggy,Wet,21,Highway,Low,1,Medium
42.21078104707303,Sunny,Dry,15,Urban,Low,0,Low
31.986536733368283,Snowy,Wet,12,Rural,Medium,1,Low
53.7615171403628,Snowy,Wet,21,Highway,Medium,1,High
114.29097039125192,Foggy,Icy,19,Highway,High,1,High
52.320293202075526,Sunny,Wet,17,Urban,Medium,1,Low
71.87906217433661,Snowy,Icy,10,Urban,High,1,Medium
90.30189588951778,Rainy,Icy,8,Highway,Low,1,High
56.3629602379294,Foggy,Wet,15,Urban,Medium,1,Low
117.17820827209607,Snowy,Dry,1,Highway,Low,1,High
116.24472949421113,Rainy,Dry,1,Rural,Low,1,Medium
45.17822958253642,Snowy,Under Maintenance,11,Urban,Low,1,Low
69.72485058923854,Rainy,Under Maintenance,7,Rural,Low,1,Low
50.087830981676966,Foggy,Wet,8,Rural,Medium,1,Medium
48.48404943774676,Snowy,Dry,11,Rural,Low,0,Low
23.68869473545328,Snowy,Icy,8,Highway,High,1,Medium
80.95643339798968,Sunny,Under Maintenance,9,Rural,Medium,1,Low
70.26790232288616,Foggy,Icy,1,Rural,Low,1,Medium
25.147875124998933,Rainy,Under Maintenance,15,Rural,Medium,0,Low
47.86464642366114,Snowy,Wet,19,Highway,High,1,High
110.82658859666537,Snowy,Dry,6,Rural,Low,1,Medium
43.95618906669724,Rainy,Under Maintenance,1,Rural,High,1,Low
34.48948720912231,Foggy,Dry,0,Urban,Low,0,Low
68.94527602775631,Sunny,Icy,18,Highway,High,1,High
118.56504541106007,Sunny,Wet,3,Rural,Low,1,Medium
44.20552715115004,Snowy,Dry,23,Urban,Medium,0,Medium
87.21355474058785,Rainy,Wet,21,Highway,Low,1,High
96.16196153287176,Snowy,Dry,1,Highway,Medium,0,High
43.76375439923997,Rainy,Icy,13,Highway,Low,1,High
92.82163486118596,Sunny,Icy,1,Highway,Low,1,High
56.77831327192532,Foggy,Wet,14,Highway,High,1,High
83.23058305935794,Rainy,Icy,11,Highway,High,1,High
83.35297107608946,Sunny,Under Maintenance,4,Rural,High,1,Medium
73.57746840747585,Snowy,Dry,19,Rural,Low,1,Medium
29.02897700544083,Rainy,Icy,6,Rural,Low,1,Low
103.5302495589238,Foggy,Under Maintenance,23,Rural,Low,1,Medium
52.07800649717358,Snowy,Wet,20,Urban,Medium,1,Low
38.651851039985424,Snowy,Under Maintenance,9,Rural,Medium,1,Low
24.077514155476393,Sunny,Wet,13,Highway,Low,0,Medium
79.08929431882419,Rainy,Wet,13,Rural,High,1,Medium
87.75643618422824,Snowy,Dry,4,Rural,High,1,Medium
21.658782892785617,Foggy,Dry,17,Highway,High,0,Medium
71.2093058299281,Rainy,Under Maintenance,23,Rural,Low,1,Medium
42.649577519793795,Foggy,Dry,13,Rural,High,1,Low
84.51727904094498,Snowy,Dry,1,Rural,Low,0,Medium
37.436642900499145,Foggy,Dry,11,Urban,Medium,0,Low
89.09377381024659,Sunny,Under Maintenance,21,Rural,High,1,Medium
58.67353463005374,Foggy,Icy,23,Highway,Medium,1,Medium
113.67299887367345,Rainy,Dry,5,Highway,High,1,High
33.75209441459933,Foggy,Dry,3,Rural,Low,0,Low
54.10663510502585,Foggy,Under Maintenance,12,Rural,Low,1,Medium
31.347352124058908,Sunny,Icy,3,Rural,Low,0,Low
112.46936182785628,Foggy,Dry,21,Highway,Low,1,High
107.7339353380981,Foggy,Wet,13,Highway,High,1,High
45.79416277151556,Snowy,Under Maintenance,15,Urban,Medium,1,Low
85.99840460341791,Snowy,Dry,3,Urban,Low,1,Medium
101.72222002012158,Rainy,Dry,23,Urban,High,1,Medium
75.52008115994623,Snowy,Wet,0,Highway,Medium,1,High
72.96505783560065,Snowy,Wet,12,Urban,Low,1,Low
44.18522909004517,Snowy,Under Maintenance,3,Rural,Medium,1,Low
29.310276780589923,Snowy,Under Maintenance,19,Rural,Low,1,Low
109.72157579533267,Sunny,Wet,17,Highway,Medium,1,High
110.04180571633304,Snowy,Under Maintenance,5,Urban,Medium,1,Medium
83.31014572732678,Sunny,Wet,2,Rural,Low,1,Medium
53.90297910487007,Sunny,Dry,22,Highway,High,0,Medium
54.92095746126609,Snowy,Wet,12,Urban,Medium,1,Low
92.59556788702393,Foggy,Wet,15,Rural,Low,1,Medium
109.71102599525771,Sunny,Icy,4,Urban,Medium,1,Medium
108.70864242651173,Foggy,Wet,3,Highway,Medium,1,High
97.98755458576238,Foggy,Wet,20,Urban,High,1,Medium
84.20316461542878,Snowy,Icy,7,Highway,Medium,1,Medium
